,Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location,Latitude,Longitude,DistanceToCenter,DistanceToBeach
113, Phan Thị Nể,Hòa Minh,liên chiểu,4.5,81.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3.0,"16.07961,108.16322",16.07961,108.16322,7.089097165835694,8.914180751936236
114, Phú Xuân 1,Hòa Minh,liên chiểu,3.5,100.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,1.0,"16.07302,108.16626",16.07302,108.16626,6.595073257252539,8.535824136234744
115, Nguyễn Bỉnh Khiêm,An Hải Tây,sơn trà,6.0,5.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.3,9.57,3.0,"16.06415,108.23249",16.06415,108.23249,0.6960000536697644,1.6117288468712456
116, Ngô Quyền,An Hải Bắc,sơn trà,4.5,140.0,Không,Nhà mặt tiền,Không có,6.0,,2.0,"16.09631,108.24529",16.09631,108.24529,4.37794592535801,2.882313946681588
117, Nại Hiên Đông,Nại Hiên Đông,sơn trà,3.6,68.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,2.0,"16.08794594,108.2298584",16.087946,108.22986,2.9922399500649877,2.6111029025089763
118, Bùi Dương Lịch,Nại Hiên Đông,sơn trà,4.45,7.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,16.0,3.0,"16.0895,108.23283",16.0895,108.23283,3.2129398149994635,2.5538601745232783
119, 12 Cao Sơn Pháo,Hòa An,cẩm lệ,3.8,61.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,10.0,3.0,"16.05826,108.17668",16.05826,108.17668,5.3594475092987786,7.539402426811727
120, 12 Cù Chính Lan,Hòa Khê,thanh khê,5.9,78.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,17.0,3.0,"16.0714016,108.19120789",16.071402,108.19121,3.9628276787713803,5.866247575126989
121, Hùng Vương,Vĩnh Trung,thanh khê,5.4,11.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,16.0,2.0,"16.06689,108.21214",16.06689,108.21214,1.6834818565422482,3.649255439553969
122, Tôn Đức Thắng,Hòa Minh,liên chiểu,3.69,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,15.0,3.0,"16.07067,108.15084",16.07067,108.15084,8.178437906853128,10.178456772350781
123, Đoàn Phú Tứ,Hòa Khánh Bắc,liên chiểu,1.75,58.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,1.0,"16.06926,108.14463",16.06926,108.14463,8.819653094755985,10.842763680501717
124, Nại Hiên Đông 8,Nại Hiên Đông,sơn trà,3.18,7.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,18.0,2.0,"16.09258,108.23111",16.09258,108.23111,3.520093292650951,2.940799481620805
125, mt kỳ đồng Kỳ Đồng,Thạc Gián,thanh khê,8.0,85.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3.0,"16.07002,108.18854",16.07002,108.18854,4.198530823657205,6.1506749548232085
