Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors
 Tôn Đức Thắng,Hòa Minh,liên chiểu,24.99,330.0,Không,True,True,10.0,33.0,4
 Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,5.4,60.0,Không,True,True,5.0,12.0,2
 Tống Phước Phổ,Hòa Thuận Tây,hải châu,5.8,100.0,Không,True,True,4.5,22.22222222222222,3
 Nguyễn Đăng Đạo,Hòa Thuận Tây,hải châu,5.8,100.0,Không,True,True,4.5,22.22222222222222,3
 Nguyễn Đăng Đạo,Hòa Thuận Tây,hải châu,6.3,115.0,Không,True,True,5.0,23.0,3
 Hoàng Đạo Thúy,Hòa Phát,cẩm lệ,5.2,140.0,Không,True,True,5.0,28.0,3
 17 Bình An,Hòa Cường Bắc,hải châu,6.9,115.0,Không,True,True,5.5,20.90909090909091,3
 Phan Anh,Hòa Cường Bắc,hải châu,6.2,107.0,Không,True,True,5.0,21.4,3
 Lương Nhữ Hộc,Hòa Cường Bắc,hải châu,6.8,95.0,Không,True,True,5.0,19.0,3
 Núi Thành,Hòa Cường Bắc,hải châu,6.2,120.0,Không,True,True,5.0,24.0,3
 Dương Quảng Hàm,Hòa Thuận Tây,hải châu,5.8,95.0,Không,True,True,4.7,20.21276595744681,3
 Ông Ích Khiêm,Thanh Bình,hải châu,10.8,100.0,Không,True,True,5.5,18.181818181818183,3
 Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,32.0,189.0,Không,True,True,15.0,12.6,6
 Thanh Long,Thuận Phước,hải châu,8.7,115.0,Không,True,True,7.5,15.333333333333334,3
 Thanh Thủy,Thuận Phước,hải châu,8.69,119.0,Không,True,True,7.9,15.063291139240505,3
 Hải Hồ,Thuận Phước,hải châu,8.64,1.0,Không,True,True,7.3,0.136986301369863,3
 Thanh Sơn,Thuận Phước,hải châu,8.7,129.0,Không,True,True,7.6,16.973684210526315,4
 Hoàng Xuân Nhị,Hòa Cường Nam,hải châu,5.99,109.0,Không,True,True,5.0,21.8,3
