Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Bùi Vịnh,Hòa Phát,cẩm lệ,4.2,120,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,24,2,"16.02131,108.20046"
 Nguyễn Thanh Năm,An Khê,thanh khê,3.2,75,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,15,1,"16.03579,108.19075"
 Đoàn Phú Tứ,Hòa Khánh Bắc,liên chiểu,4.1,147,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,30,1,"16.06926,108.14463"
 Nguyễn Trác,Hòa Thuận Tây,hải châu,9,134,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,27,2,"16.04123,108.20957"
 Trần Can,Hòa Khê,thanh khê,5.8,85,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,17,3,"16.0738,108.20758"
 An Mỹ,An Hải Tây,sơn trà,4.8,56,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4,14,1,"16.06265,108.23121"
 Ngô Trí Hòa,Nại Hiên Đông,sơn trà,3.2,7,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4,18,1,"16.09121,108.23348"
 Man Thiện,Hòa Thuận Tây,hải châu,8.9,96,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,19.2,3,"16.05362,108.20609"
 Hoàng Đức Lương,An Hải Bắc,sơn trà,9,100,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.07525,108.23292"
 Võ Duy Ninh,Thọ Quang,sơn trà,5.3,130,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,25.7,2,"16.09291,108.24852"
 Lý Tự Trọng,Thạch Thang,hải châu,10.8,80,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4,20,2,"16.05067825,108.21286774"
 Ngô Chi Lan,Thuận Phước,hải châu,6.8,95,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,6,21,1,"16.06903,108.21546"
 Vũ Quỳnh,Thanh Khê Tây,thanh khê,3.9,75,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,15,1,"16.07717,108.17347"
 Trần Văn Đang,Khuê Trung,cẩm lệ,4.2,75,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,15,2,"16.01969,108.20764"
 Man Thiện,Hòa Thuận Tây,hải châu,8.9,96,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,19.2,3,"16.05362,108.20609"
 Hồ Huân Nghiệp,Mỹ An,ngũ hành sơn,5.1,90,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,18,1,"16.03889,108.23781"
 Bùi Dương Lịch,Nại Hiên Đông,sơn trà,5.2,100,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.0895,108.23283"
 Lưu Nhân Chú,Khuê Trung,cẩm lệ,3.4,70,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,14,2,"16.02025,108.20802"
 An Mỹ 3,An Hải Tây,sơn trà,4.2,57,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.4,13,1,"16.06433,108.23117"
 Lưu Nhân Chú,Khuê Trung,cẩm lệ,3.4,70,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,14,2,"16.02025,108.20802"
 Nguyễn Thuật,Hòa An,cẩm lệ,3.15,90,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,18,1,"16.0521,108.17708"
 Lê Chân,Nại Hiên Đông,sơn trà,5.1,80,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,16,2,"16.0907,108.23871"
 Trần Phú,Phước Ninh,hải châu,41,158,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,21,3,"16.07078,108.22397"
