 Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Lý Tự Trọng,Thạch Thang,hải châu,14,98,Không,Nhà mặt tiền,Không có,5.1,17,3,"16.07853,108.21389"
 Lương Ngọc Quyến,Thuận Phước,hải châu,11,76,Không,Nhà mặt tiền,Không có,7,11,3,"16.08109,108.21758"
 Ngô Thị Liễu,Hòa Cường Bắc,hải châu,5.3,8,Không,Nhà mặt tiền,Không có,5,16.5,3,"16.03786,108.21455"
 Tô Hiến Thành,Phước Mỹ,sơn trà,55,700,Không,Nhà mặt tiền,Không có,15,46,1,"16.06028,108.24304"
 Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,7.2,126,Không,Nhà mặt tiền,Không có,5,25,3,"16.09447,108.22971"
 Huỳnh Ngọc Huệ,An Khê,thanh khê,7,50,Không,Nhà mặt tiền,Không có,4,13,3,"16.06024,108.18557"
 Điện Biên Phủ,Chính Gián,thanh khê,69,404,Không,Nhà mặt tiền,Không có,20,20,2,"16.06715,108.196"
 Phan Châu Trinh,Phước Ninh,hải châu,14,77,Không,Nhà mặt tiền,Không có,4.26,18.2,4,"16.05775,108.21896"
 Lê Lợi,Thạch Thang,hải châu,15,118,Không,Nhà mặt tiền,Không có,6,16,1,"16.0726,108.22022"
 Ngô Chi Lan,Thuận Phước,hải châu,6.5,74,Không,Nhà mặt tiền,Không có,5.86,15,4,"16.06903,108.21546"
 Khúc Hạo,Nại Hiên Đông,sơn trà,6.5,125,Không,Nhà mặt tiền,Không có,5,25,2,"16.0935,108.23171"
 Bế Văn Đàn,An Khê,thanh khê,6.1,86,Không,Nhà mặt tiền,Không có,5,17.2,3,"16.06502,108.19853"
 Hùng Vương,Hải Châu II,hải châu,12,69,Không,Nhà mặt tiền,Không có,4,18,1,"16.06859,108.221"
 Nguyễn Hữu Thọ,Khuê Trung,cẩm lệ,17,170,Không,Nhà mặt tiền,Không có,5,34,5,"16.02728,108.20888"
 Huỳnh Tấn Phát,Hòa Cường Bắc,hải châu,8.9,9,Không,Nhà mặt tiền,Không có,4.5,20,1,"16.03781,108.21405"
 Nguyễn Sơn Hà,Hòa Cường Bắc,hải châu,7.45,70,Không,Nhà mặt tiền,Không có,5,14,3,"16.04551,108.21667"
